Workload,SolutionID,Tensor,ILP_Value,Trace_Value
ResNet_1x1_Proj,7,output,3.062499951737413,4
ResNet_1x1_Proj,7,max,4.000000000000421,4
ResNet_1x1_Proj,8,input,1.0000000000000004,1
ResNet_1x1_Proj,8,weight,4.000000000000002,4
ResNet_1x1_Proj,8,output,3.0624999999960014,4
ResNet_1x1_Proj,8,max,4.000000000000002,4
ResNet_1x1_Proj,9,input,1.0000000000000004,1
ResNet_1x1_Proj,9,weight,4.000000000000002,4
ResNet_1x1_Proj,9,output,3.0624999517374176,4
ResNet_1x1_Proj,9,max,4.000000000000002,4
ResNet_1x1_Proj,10,input,1.0000000000000004,1
ResNet_1x1_Proj,10,weight,4.000000000000002,4
ResNet_1x1_Proj,10,output,3.0624999517374176,4
ResNet_1x1_Proj,10,max,4.000000000000002,4
ResNet_1x1_Proj,11,input,1.0000000000000004,1
ResNet_1x1_Proj,11,weight,4.000000000000002,4
ResNet_1x1_Proj,11,output,3.0624999517374176,4
ResNet_1x1_Proj,11,max,4.000000000000002,4
ResNet_1x1_Proj,12,input,1.0,1
ResNet_1x1_Proj,12,weight,4.000000000000001,4
ResNet_1x1_Proj,12,output,3.0624999999960014,4
ResNet_1x1_Proj,12,max,4.000000000000001,4
ResNet_1x1_Proj,13,input,0.9999999517414148,1
ResNet_1x1_Proj,13,weight,4.000000000000002,4
ResNet_1x1_Proj,13,output,3.0624999999960014,4
ResNet_1x1_Proj,13,max,4.000000000000002,4
ResNet_1x1_Proj,14,input,0.9999999517414148,1
ResNet_1x1_Proj,14,weight,4.000000000000002,4
ResNet_1x1_Proj,14,output,3.0624999999960014,4
ResNet_1x1_Proj,14,max,4.000000000000002,4
ResNet_1x1_Proj,15,input,0.9999999517414148,1
ResNet_1x1_Proj,15,weight,4.000000000000002,4
ResNet_1x1_Proj,15,output,3.0624999999960014,4
ResNet_1x1_Proj,15,max,4.000000000000002,4
ResNet_1x1_Proj,16,input,0.9999999517414148,1
ResNet_1x1_Proj,16,weight,4.000000000000002,4
ResNet_1x1_Proj,16,output,3.0624999999960014,4
ResNet_1x1_Proj,16,max,4.000000000000002,4
ResNet_1x1_Proj,17,input,0.9999999517414148,1
ResNet_1x1_Proj,17,weight,4.000000000000002,4
ResNet_1x1_Proj,17,output,3.0624999999960014,4
ResNet_1x1_Proj,17,max,4.000000000000002,4
ResNet_1x1_Proj,18,input,0.9999999517414148,1
